"","sample","gene","anova_p","mean_between","mean_intra","fdr"
"29","D5","ENSG00000111445",0.1448,1.8557,1.7363,0.92
"30","D5","ENSG00000263001",0.7414,3.6329,3.6493,0.9855
"31","D5","ENSG00000265218",0.4229,-0.3427,-0.0878,0.947
"32","D5","ENSG00000130684",0.1895,3.0325,2.81,0.92
"33","D5","ENSG00000214300",0.1749,2.2785,2.1488,0.92
"34","D5","ENSG00000100567",0.4237,3.942,4.0327,0.947
"35","D5","ENSG00000275467",0.2847,0.042,-0.554,0.92
"36","D5","ENSG00000160613",0.5584,2.7926,2.7665,0.966
"37","D5","ENSG00000183308",0.5805,-0.7273,-0.908,0.9722
"38","D5","ENSG00000277621",0.9759,-2.4451,-2.4945,0.9976
"39","D5","ENSG00000211452",0.0485,-0.8377,-0.2792,0.8729
"40","D5","ENSG00000278419",0.9989,-5.0709,-5.0733,0.9989
"41","D5","ENSG00000221944",0.3823,0.6415,-1.1971,0.9234
"42","D5","ENSG00000183298",0.0122,-1.2207,-0.2797,0.6971
"43","D5","ENSG00000227541",0.1797,-1.3721,-0.5321,0.92
"44","D5","ENSG00000260317",0.9792,-1.5931,-1.5836,0.9976
"45","D5","ENSG00000260698",0.886,-1.2688,-1.2332,0.9948
"46","D5","ENSG00000264071",0.6017,-1.5765,-0.993,0.9775
"47","D5","ENSG00000261799",0.8082,2.3944,2.3739,0.9948
"48","D5","ENSG00000046653",0.7808,0.0431,-0.0194,0.9915
"49","D5","ENSG00000108582",0.0996,2.368,2.5809,0.9104
"50","D5","ENSG00000237991",0.8095,-2.8081,-2.4984,0.9948
"51","D5","ENSG00000070404",0.8443,-0.3135,-0.2639,0.9948
