"gene_compare","gene","compare","us"
"ENSG00000159335 D5/D6","ENSG00000159335","D5/D6",3.04463151948601
"ENSG00000159339 D5/D6","ENSG00000159339","D5/D6",3.04463151948601
"ENSG00000159884 D5/D6","ENSG00000159884","D5/D6",3.04463151948601
"ENSG00000160013 D5/D6","ENSG00000160013","D5/D6",3.04463151948601
"ENSG00000160172 D5/D6","ENSG00000160172","D5/D6",3.04463151948601
"ENSG00000160193 D5/D6","ENSG00000160193","D5/D6",3.04463151948601
"ENSG00000160200 D5/D6","ENSG00000160200","D5/D6",3.04463151948601
"ENSG00000160229 D5/D6","ENSG00000160229","D5/D6",3.04463151948601
"ENSG00000160299 D5/D6","ENSG00000160299","D5/D6",3.04463151948601
"ENSG00000160570 D5/D6","ENSG00000160570","D5/D6",3.04463151948601
"ENSG00000160683 D5/D6","ENSG00000160683","D5/D6",3.04463151948601
"ENSG00000160991 D5/D6","ENSG00000160991","D5/D6",3.04463151948601
"ENSG00000162408 D5/D6","ENSG00000162408","D5/D6",3.04463151948601
"ENSG00000162694 D5/D6","ENSG00000162694","D5/D6",3.04463151948601
"ENSG00000162702 D5/D6","ENSG00000162702","D5/D6",3.04463151948601
"ENSG00000162775 D5/D6","ENSG00000162775","D5/D6",3.04463151948601
"ENSG00000162804 D5/D6","ENSG00000162804","D5/D6",3.04463151948601
"ENSG00000163312 D5/D6","ENSG00000163312","D5/D6",3.04463151948601
"ENSG00000163376 D5/D6","ENSG00000163376","D5/D6",3.04463151948601
"ENSG00000163510 D5/D6","ENSG00000163510","D5/D6",3.04463151948601
"ENSG00000163820 D5/D6","ENSG00000163820","D5/D6",3.04463151948601
"ENSG00000163875 D5/D6","ENSG00000163875","D5/D6",3.04463151948601
"ENSG00000164199 D5/D6","ENSG00000164199","D5/D6",3.04463151948601
"ENSG00000164692 D5/D6","ENSG00000164692","D5/D6",3.04463151948601
"ENSG00000165046 D5/D6","ENSG00000165046","D5/D6",3.04463151948601
"ENSG00000165178 D5/D6","ENSG00000165178","D5/D6",3.04463151948601
"ENSG00000165475 D5/D6","ENSG00000165475","D5/D6",3.04463151948601
"ENSG00000165548 D5/D6","ENSG00000165548","D5/D6",3.04463151948601
"ENSG00000165591 D5/D6","ENSG00000165591","D5/D6",3.04463151948601
"ENSG00000165874 D5/D6","ENSG00000165874","D5/D6",3.04463151948601
"ENSG00000165948 D5/D6","ENSG00000165948","D5/D6",3.04463151948601
"ENSG00000166257 D5/D6","ENSG00000166257","D5/D6",3.04463151948601
"ENSG00000166471 D5/D6","ENSG00000166471","D5/D6",3.04463151948601
"ENSG00000166582 D5/D6","ENSG00000166582","D5/D6",3.04463151948601
"ENSG00000166710 D5/D6","ENSG00000166710","D5/D6",3.04463151948601
"ENSG00000167077 D5/D6","ENSG00000167077","D5/D6",3.04463151948601
"ENSG00000167106 D5/D6","ENSG00000167106","D5/D6",3.04463151948601
"ENSG00000167186 D5/D6","ENSG00000167186","D5/D6",3.04463151948601
"ENSG00000167604 D5/D6","ENSG00000167604","D5/D6",3.04463151948601
"ENSG00000167608 D5/D6","ENSG00000167608","D5/D6",3.04463151948601
"ENSG00000167792 D5/D6","ENSG00000167792","D5/D6",3.04463151948601
"ENSG00000167900 D5/D6","ENSG00000167900","D5/D6",3.04463151948601
"ENSG00000168246 D5/D6","ENSG00000168246","D5/D6",3.04463151948601
"ENSG00000168522 D5/D6","ENSG00000168522","D5/D6",3.04463151948601
"ENSG00000168610 D5/D6","ENSG00000168610","D5/D6",3.04463151948601
"ENSG00000168778 D5/D6","ENSG00000168778","D5/D6",3.04463151948601
"ENSG00000169032 D5/D6","ENSG00000169032","D5/D6",3.04463151948601
"ENSG00000169062 D5/D6","ENSG00000169062","D5/D6",3.04463151948601
"ENSG00000169282 D5/D6","ENSG00000169282","D5/D6",3.04463151948601
"ENSG00000169718 D5/D6","ENSG00000169718","D5/D6",3.04463151948601
"ENSG00000170006 D5/D6","ENSG00000170006","D5/D6",3.04463151948601
"ENSG00000170144 D5/D6","ENSG00000170144","D5/D6",3.04463151948601
"ENSG00000170160 D5/D6","ENSG00000170160","D5/D6",3.04463151948601
"ENSG00000170270 D5/D6","ENSG00000170270","D5/D6",3.04463151948601
"ENSG00000170430 D5/D6","ENSG00000170430","D5/D6",3.04463151948601
"ENSG00000170667 D5/D6","ENSG00000170667","D5/D6",3.04463151948601
"ENSG00000170684 D5/D6","ENSG00000170684","D5/D6",3.04463151948601
"ENSG00000170703 D5/D6","ENSG00000170703","D5/D6",3.04463151948601
"ENSG00000171311 D5/D6","ENSG00000171311","D5/D6",3.04463151948601
"ENSG00000171316 D5/D6","ENSG00000171316","D5/D6",3.04463151948601
"ENSG00000171467 D5/D6","ENSG00000171467","D5/D6",3.04463151948601
"ENSG00000171488 D5/D6","ENSG00000171488","D5/D6",3.04463151948601
"ENSG00000171490 D5/D6","ENSG00000171490","D5/D6",3.04463151948601
"ENSG00000171786 D5/D6","ENSG00000171786","D5/D6",3.04463151948601
"ENSG00000171793 D5/D6","ENSG00000171793","D5/D6",3.04463151948601
"ENSG00000171960 D5/D6","ENSG00000171960","D5/D6",3.04463151948601
"ENSG00000172301 D5/D6","ENSG00000172301","D5/D6",3.04463151948601
"ENSG00000172602 D5/D6","ENSG00000172602","D5/D6",3.04463151948601
"ENSG00000172965 D5/D6","ENSG00000172965","D5/D6",3.04463151948601
