"","uchar","gene_compare","gene","compare"
"ENSG00000075073 M8/D6",10.0313203040477,"ENSG00000075073 M8/D6","ENSG00000075073","M8/D6"
"ENSG00000075399 D5/D6",5.4707729270747,"ENSG00000075399 D5/D6","ENSG00000075399","D5/D6"
"ENSG00000075399 F7/D6",1.8461798430845,"ENSG00000075399 F7/D6","ENSG00000075399","F7/D6"
"ENSG00000075399 M8/D6",1.84159335618748,"ENSG00000075399 M8/D6","ENSG00000075399","M8/D6"
"ENSG00000075407 D5/D6",0.927156336660581,"ENSG00000075407 D5/D6","ENSG00000075407","D5/D6"
"ENSG00000075407 F7/D6",1.07030701883119,"ENSG00000075407 F7/D6","ENSG00000075407","F7/D6"
"ENSG00000075407 M8/D6",0.931126526547185,"ENSG00000075407 M8/D6","ENSG00000075407","M8/D6"
"ENSG00000075415 D5/D6",0.694885844087832,"ENSG00000075415 D5/D6","ENSG00000075415","D5/D6"
"ENSG00000075415 F7/D6",0.608519704208423,"ENSG00000075415 F7/D6","ENSG00000075415","F7/D6"
"ENSG00000075415 M8/D6",1.09794722705989,"ENSG00000075415 M8/D6","ENSG00000075415","M8/D6"
"ENSG00000076248 D5/D6",12.6921670972093,"ENSG00000076248 D5/D6","ENSG00000076248","D5/D6"
